id,title,description,release_date,runtime,slug,genre,type,backdrop_img,poster_img,created_at,updated_at
172,The Batman,"In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.",2022-03-01,176,the-batman,"Crime, Mystery, Thriller",movie,5P8SmMzSNYikXpxil6BYzJ16611.jpg,74xTEgt7R36Fpooo50r9T25onhq.jpg,2022-04-29 15:28:44.353969,2022-04-29 15:28:44.353969
173,Spider-Man: No Way Home,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",2021-12-15,148,spider-man-no-way-home,"Action, Adventure, Science Fiction",movie,iQFcwSGbZXMkeyKrxbPnwnRo5fl.jpg,1g0dhYtq4irTY1GPXvft6k4YLjm.jpg,2022-04-29 15:28:44.353969,2022-04-29 15:28:44.353969
174,The Outfit,"Leonard is an English tailor who used to craft suits on London’s world-famous Savile Row. After a personal tragedy, he’s ended up in Chicago, operating a small tailor shop in a rough part of town where he makes beautiful clothes for the only people around who can afford them: a family of vicious gangsters.",2022-02-25,105,the-outfit,"Drama, Thriller, Crime",movie,2n95p9isIi1LYTscTcGytlI4zYd.jpg,ieOVuwnoFC49m7bekmdQ4AynciS.jpg,2022-04-29 15:28:44.353969,2022-04-29 15:28:44.353969
175,Turning Red,"Thirteen-year-old Mei is experiencing the awkwardness of being a teenager with a twist – when she gets too excited, she transforms into a giant red panda.",2022-03-10,100,turning-red,"Animation, Family, Comedy, Fantasy",movie,fOy2Jurz9k6RnJnMUMRDAgBwru2.jpg,qsdjk9oAKSQMWs0Vt5Pyfh6O4GZ.jpg,2022-04-29 15:28:44.353969,2022-04-29 15:28:44.353969
176,Uncharted,"A young street-smart, Nathan Drake and his wisecracking partner Victor “Sully” Sullivan embark on a dangerous pursuit of “the greatest treasure never found” while also tracking clues that may lead to Nathan’s long-lost brother.",2022-02-10,116,uncharted,"Action, Adventure, Family",movie,aEGiJJP91HsKVTEPy1HhmN0wRLm.jpg,sqLowacltbZLoCa4KYye64RvvdQ.jpg,2022-04-29 15:28:44.353969,2022-04-29 15:28:44.353969
177,Sonic the Hedgehog 2,"After settling in Green Hills, Sonic is eager to prove he has what it takes to be a true hero. His test comes when Dr. Robotnik returns, this time with a new partner, Knuckles, in search for an emerald that has the power to destroy civilizations. Sonic teams up with his own sidekick, Tails, and together they embark on a globe-trotting journey to find the emerald before it falls into the wrong hands.",2022-03-30,122,sonic-the-hedgehog-2,"Action, Science Fiction, Comedy, Family",movie,egoyMDLqCxzjnSrWOz50uLlJWmD.jpg,6DrHO1jr3qVrViUO6s6kFiAGM7.jpg,2022-04-29 15:28:44.353969,2022-04-29 15:28:44.353969
178,Yaksha: Ruthless Operations,"Nicknamed after a human-devouring spirit, the ruthless leader of an overseas black ops team takes up a dangerous mission in a city riddled with spies.",2022-04-08,125,yaksha-ruthless-operations,Action,movie,hXTWVJMsI9BkxMLliqL1j0FT55t.jpg,7MDgiFOPUCeG74nQsMKJuzTJrtc.jpg,2022-04-29 15:28:44.353969,2022-04-29 15:28:44.353969
179,Moonfall,A mysterious force knocks the moon from its orbit around Earth and sends it hurtling on a collision course with life as we know it.,2022-02-03,130,moonfall,"Action, Adventure, Science Fiction",movie,x747ZvF0CcYYTTpPRCoUrxA2cYy.jpg,odVv1sqVs0KxBXiA8bhIBlPgalx.jpg,2022-04-29 15:28:44.353969,2022-04-29 15:28:44.353969
180,All the Old Knives,"When the CIA discovers one of its agents leaked information that cost more than 100 people their lives, veteran operative Henry Pelham is assigned to root out the mole with his former lover and colleague Celia Harrison.",2022-04-08,102,all-the-old-knives,"Thriller, Action",movie,xicKILMzPn6XZYCOpWwaxlUzg6S.jpg,g4tMniKxol1TBJrHlAtiDjjlx4Q.jpg,2022-04-29 15:28:44.353969,2022-04-29 15:28:44.353969
181,Blacklight,Travis Block is a shadowy Government agent who specializes in removing operatives whose covers have been exposed. He then has to uncover a deadly conspiracy within his own ranks that reaches the highest echelons of power.,2022-02-10,104,blacklight,"Action, Thriller",movie,iDeWAGnmloZ5Oz3bocDp4rSbUXd.jpg,bv9dy8mnwftdY2j6gG39gCfSFpV.jpg,2022-04-29 15:28:44.353969,2022-04-29 15:28:44.353969
182,Encanto,"The tale of an extraordinary family, the Madrigals, who live hidden in the mountains of Colombia, in a magical house, in a vibrant town, in a wondrous, charmed place called an Encanto. The magic of the Encanto has blessed every child in the family with a unique gift from super strength to the power to heal—every child except one, Mirabel. But when she discovers that the magic surrounding the Encanto is in danger, Mirabel decides that she, the only ordinary Madrigal, might just be her exceptional family''s last hope.",2021-11-24,102,encanto,"Animation, Comedy, Family, Fantasy",movie,3G1Q5xF40HkUBJXxt2DQgQzKTp5.jpg,4j0PNHkMr5ax3IA8tjtxcmPU3QT.jpg,2022-04-29 15:28:44.353969,2022-04-29 15:28:44.353969
183,War of the Worlds: Annihilation,A mother and son find themselves faced with a brutal alien invasion where survival will depend on discovering the unthinkable truth about the enemy.,2021-12-22,113,war-of-the-worlds-annihilation,"Science Fiction, Action",movie,dqWiut9F30jkiKHHkYTf2RIy1g7.jpg,9eiUNsUAw2iwVyMeXNNiNQQad4E.jpg,2022-04-29 15:28:44.353969,2022-04-29 15:28:44.353969
184,The Adam Project,"After accidentally crash-landing in 2022, time-traveling fighter pilot Adam Reed teams up with his 12-year-old self on a mission to save the future.",2022-03-11,106,the-adam-project,"Action, Adventure, Comedy, Science Fiction",movie,ewUqXnwiRLhgmGhuksOdLgh49Ch.jpg,wFjboE0aFZNbVOF05fzrka9Fqyx.jpg,2022-04-29 15:28:44.353969,2022-04-29 15:28:44.353969
185,No Exit,"Stranded at a rest stop in the mountains during a blizzard, a recovering addict discovers a kidnapped child hidden in a car belonging to one of the people inside the building which sets her on a terrifying struggle to identify who among them is the kidnapper.",2022-02-25,96,no-exit,"Horror, Thriller",movie,33wnBK5NxvuKQv0Cxo3wMv0eR7F.jpg,5cnLoWq9o5tuLe1Zq4BTX4LwZ2B.jpg,2022-04-29 15:28:44.353969,2022-04-29 15:28:44.353969
186,Pil's Adventures,"Pil, a little vagabond girl, lives on the streets of the medieval city of Roc-en-Brume, along with her three tame weasels. She survives of food stolen from the castle of the sinister Regent Tristain. One day, to escape his guards, Pil disguises herself as a princess. Thus she embarks upon a mad, delirious adventure, together with Crobar, a big clumsy guard who thinks she''s a noble, and Rigolin, a young crackpot jester. Pil is going to have to save Roland, rightful heir to the throne under the curse of a spell. This adventure will turn the entire kingdom upside down, and teach Pil that nobility can be found in all of us.",2021-08-11,89,pil-s-adventures,"Adventure, Animation, Comedy, Family, Fantasy",movie,tq3klWQevRK0Or0cGhsw0h3FDWQ.jpg,abPQVYyNfVuGoFUfGVhlNecu0QG.jpg,2022-04-29 15:28:44.353969,2022-04-29 15:28:44.353969
187,Gold,"In the not-too-distant future, two drifters traveling through the desert stumble across the biggest gold nugget ever found and the dream of immense wealth and greed takes hold. They hatch a plan to excavate their bounty, with one man leaving to secure the necessary tools while the other remains with the gold. The man who remains must endure harsh desert elements, ravenous wild dogs, and mysterious intruders, while battling the sinking suspicion that he has been abandoned to his fate.",2022-01-13,97,gold,"Thriller, Action",movie,yzH5zvuEzzsHLZnn0jwYoPf0CMT.jpg,ejXBuNLvK4kZ7YcqeKqUWnCxdJq.jpg,2022-04-29 15:28:44.353969,2022-04-29 15:28:44.353969
188,Hotel Transylvania: Transformania,"When Van Helsing''s mysterious invention, the '"Monsterfication Ray,'" goes haywire, Drac and his monster pals are all transformed into humans, and Johnny becomes a monster. In their new mismatched bodies, Drac and Johnny must team up and race across the globe to find a cure before it''s too late, and before they drive each other crazy.",2022-02-25,87,hotel-transylvania-transformania,"Animation, Family, Fantasy, Comedy, Adventure",movie,qBLEWvJNVsehJkEJqIigPsWyBse.jpg,teCy1egGQa0y8ULJvlrDHQKnxBL.jpg,2022-04-29 15:28:44.353969,2022-04-29 15:28:44.353969
189,Black Crab,"To end an apocalyptic war and save her daughter, a reluctant soldier embarks on a desperate mission to cross a frozen sea carrying a top-secret cargo.",2022-03-18,109,black-crab,"Action, Thriller",movie,t7I942V5U1Ggn6OevN75u3sNYH9.jpg,mcIYHZYwUbvhvUt8Lb5nENJ7AlX.jpg,2022-04-29 15:28:44.353969,2022-04-29 15:28:44.353969
190,Restless,"After going to extremes to cover up an accident, a corrupt cop''s life spirals out of control when he starts receiving threats from a mysterious witness.",2022-02-25,95,restless,"Action, Thriller, Crime",movie,7CamWBejQ9JQOO5vAghZfrFpMXY.jpg,9MP21x0OPv0R72obd63tMHssmGt.jpg,2022-04-29 15:28:44.353969,2022-04-29 15:28:44.353969
191,The In Between,"After surviving a car accident that took the life of her boyfriend, a teenage girl believes he''s attempting to reconnect with her from the after world.",2022-02-11,116,the-in-between,"Romance, Science Fiction, Drama",movie,i9rEpTqC6aIQOWOc4PDEEAE3hFe.jpg,7RcyjraM1cB1Uxy2W9ZWrab4KCw.jpg,2022-04-29 15:28:44.353969,2022-04-29 15:28:44.353969
192,Venom: Let There Be Carnage,"After finding a host body in investigative reporter Eddie Brock, the alien symbiote must face a new enemy, Carnage, the alter ego of serial killer Cletus Kasady.",2021-09-30,97,venom-let-there-be-carnage,"Science Fiction, Action, Adventure",movie,vIgyYkXkg6NC2whRbYjBD7eb3Er.jpg,rjkmN1dniUHVYAtwuV3Tji7FsDO.jpg,2022-04-29 15:28:44.353969,2022-04-29 15:28:44.353969
193,The Grandmother,"A Paris model must return to Madrid where her grandmother, who raised her, has had a stroke. But spending just a few days with this relative turns into an unexpected nightmare.",2022-01-28,100,the-grandmother,Horror,movie,An1nKjXahrChfEbZ3MAE8fsiut1.jpg,eIUixNvox4U4foL5Z9KbN9HXYSM.jpg,2022-04-29 15:28:44.353969,2022-04-29 15:28:44.353969
194,My Hero Academia: World Heroes' Mission,"A mysterious group called Humarize strongly believes in the Quirk Singularity Doomsday theory which states that when quirks get mixed further in with future generations, that power will bring forth the end of humanity. In order to save everyone, the Pro-Heroes around the world ask UA Academy heroes-in-training to assist them and form a world-classic selected hero team. It is up to the heroes to save the world and the future of heroes in what is the most dangerous crisis to take place yet in My Hero Academia.",2021-08-06,105,my-hero-academia-world-heroes-mission,"Animation, Action, Fantasy, Adventure",movie,cugmVwK0N4aAcLibelKN5jWDXSx.jpg,4NUzcKtYPKkfTwKsLjwNt8nRIXV.jpg,2022-04-29 15:28:44.353969,2022-04-29 15:28:44.353969
